ImageId,Label
1,3
2,0
3,4
4,2
5,5
6,7
7,4
8,9
9,5
10,9
11,5
12,5
13,5
14,1
15,4
16,3
17,3
18,4
19,5
20,6
21,0
22,1
23,9
24,7
25,4
26,2
27,3
28,8
29,7
30,0
31,8
32,4
33,6
34,0
35,1
36,5
37,1
38,3
39,3
40,3
41,1
42,6
43,1
44,5
45,2
46,0
47,9
48,4
49,2
50,0
51,7
52,1
53,8
54,1
55,6
56,3
57,8
58,2
59,0
60,0
61,5
62,0
63,6
64,2
65,4
66,2
67,8
68,1
69,7
70,2
71,5
72,0
73,8
74,1
75,2
76,4
77,5
78,0
79,1
80,4
81,3
82,5
83,0
84,0
85,1
86,1
87,1
88,5
89,0
90,3
91,4
92,2
93,5
94,4
95,0
96,9
97,0
98,9
99,3
100,2
101,3
102,7
103,4
104,4
105,0
106,4
107,2
108,1
109,3
110,0
111,3
112,3
113,9
114,0
115,4
116,2
117,1
118,7
119,5
120,1
121,7
122,3
123,2
124,0
125,4
126,6
127,9
128,6
129,0
130,5
131,9
132,1
133,7
134,9
135,2
136,7
137,0
138,9
139,3
140,4
141,0
142,0
143,2
144,3
145,6
146,0
147,6
148,0
149,6
150,4
151,4
152,6
153,6
154,6
155,9
156,4
157,5
158,1
159,1
160,4
161,6
162,3
163,2
164,9
165,7
166,1
167,5
168,0
169,0
170,3
171,6
172,7
173,3
174,4
175,8
176,2
177,9
178,2
179,0
180,8
181,6
182,8
183,2
184,8
185,1
186,4
187,4
188,5
189,1
190,8
191,4
192,5
193,5
194,1
195,3
196,3
197,7
198,7
199,2
200,3
201,7
202,6
203,2
204,3
205,0
206,8
207,4
208,9
209,2
210,7
211,0
212,8
213,0
214,9
215,0
216,6
217,8
218,6
219,1
220,1
221,3
222,2
223,2
224,2
225,3
226,3
227,0
228,2
229,0
230,4
231,0
232,8
233,7
234,1
235,5
236,4
237,6
238,7
239,1
240,7
241,1
242,6
243,8
244,7
245,3
246,0
247,2
248,4
249,3
250,1
251,0
252,6
253,6
254,2
255,9
256,2
257,5
258,1
259,5
260,9
261,8
262,4
263,9
264,8
265,1
266,2
267,4
268,7
269,6
270,2
271,4
272,9
273,0
274,6
275,4
276,0
277,4
278,2
279,7
280,8
281,9
282,1
283,6
284,7
285,1
286,5
287,3
288,2
289,6
290,7
291,1
292,0
293,7
294,3
295,5
296,2
297,2
298,7
299,6
300,1
301,6
302,8
303,5
304,2
305,2
306,4
307,0
308,5
309,9
310,4
311,3
312,5
313,8
314,1
315,1
316,8
317,3
318,7
319,8
320,2
321,1
322,7
323,7
324,7
325,5
326,1
327,6
328,4
329,7
330,5
331,6
332,9
333,9
334,2
335,5
336,1
337,9
338,1
339,9
340,8
341,8
342,2
343,7
344,2
345,8
346,8
347,9
348,8
349,6
350,9
351,3
352,9
353,7
354,1
355,6
356,5
357,1
358,6
359,4
360,3
361,1
362,7
363,0
364,3
365,7
366,2
367,6
368,5
369,4
370,3
371,9
372,5
373,2
374,6
375,8
376,3
377,3
378,2
379,0
380,8
381,4
382,1
383,3
384,9
385,1
386,6
387,6
388,0
389,3
390,1
391,5
392,5
393,1
394,8
395,9
396,3
397,4
398,5
399,3
400,6
401,0
402,1
403,9
404,6
405,0
406,1
407,2
408,1
409,4
410,3
411,2
412,2
413,3
414,0
415,2
416,4
417,0
418,1
419,5
420,7
421,7
422,0
423,0
424,8
425,5
426,8
427,3
428,7
429,1
430,1
431,2
432,5
433,4
434,0
435,1
436,7
437,8
438,3
439,0
440,7
441,1
442,7
443,5
444,8
445,8
446,0
447,9
448,1
449,7
450,8
451,9
452,0
453,8
454,3
455,3
456,3
457,6
458,9
459,8
460,5
461,9
462,4
463,7
464,0
465,4
466,1
467,4
468,8
469,5
470,6
471,5
472,3
473,2
474,5
475,3
476,6
477,1
478,9
479,4
480,5
481,7
482,8
483,8
484,0
485,8
486,0
487,5
488,0
489,2
490,8
491,2
492,4
493,3
494,2
495,8
496,3
497,8
498,8
499,4
500,7
501,4
502,5
503,0
504,8
505,5
506,0
507,0
508,7
509,5
510,1
511,5
512,5
513,4
514,7
515,3
516,8
517,9
518,1
519,8
520,3
521,2
522,0
523,8
524,6
525,7
526,1
527,3
528,5
529,9
530,9
531,8
532,1
533,9
534,6
535,5
536,8
537,6
538,7
539,4
540,7
541,9
542,5
543,9
544,3
545,7
546,5
547,3
548,2
549,1
550,6
551,3
552,8
553,0
554,0
555,6
556,5
557,2
558,5
559,2
560,9
561,9
562,5
563,4
564,2
565,6
566,4
567,5
568,2
569,7
570,1
571,8
572,2
573,5
574,2
575,6
576,8
577,1
578,0
579,1
580,3
581,9
582,2
583,4
584,2
585,4
586,5
587,4
588,1
589,2
590,5
591,0
592,5
593,1
594,3
595,8
596,8
597,6
598,0
599,0
600,1
601,8
602,1
603,8
604,4
605,7
606,2
607,2
608,0
609,7
610,0
611,6
612,8
613,4
614,0
615,4
616,5
617,6
618,3
619,0
620,0
621,9
622,1
623,1
624,2
625,7
626,1
627,2
628,9
629,7
630,1
631,9
632,2
633,9
634,4
635,9
636,4
637,1
638,2
639,0
640,9
641,6
642,1
643,6
644,1
645,8
646,8
647,8
648,2
649,1
650,6
651,8
652,7
653,3
654,0
655,4
656,3
657,6
658,2
659,8
660,7
661,0
662,2
663,1
664,9
665,2
666,9
667,9
668,9
669,4
670,0
671,1
672,9
673,7
674,7
675,2
676,5
677,8
678,8
679,7
680,8
681,5
682,0
683,3
684,9
685,5
686,9
687,9
688,9
689,4
690,4
691,2
692,9
693,0
694,0
695,6
696,0
697,9
698,6
699,5
700,8
701,6
702,8
703,5
704,3
705,2
706,0
707,2
708,8
709,7
710,4
711,3
712,7
713,3
714,9
715,2
716,3
717,6
718,1
719,3
720,1
721,6
722,2
723,1
724,7
725,6
726,5
727,2
728,9
729,2
730,7
731,7
732,1
733,2
734,8
735,2
736,1
737,7
738,0
739,6
740,0
741,2
742,4
743,2
744,3
745,0
746,6
747,4
748,2
749,7
750,0
751,9
752,3
753,7
754,6
755,5
756,2
757,3
758,7
759,8
760,3
761,1
762,4
763,7
764,0
765,6
766,6
767,4
768,5
769,0
770,6
771,7
772,2
773,2
774,1
775,5
776,1
777,4
778,0
779,9
780,3
781,2
782,3
783,3
784,6
785,4
786,7
787,7
788,0
789,7
790,6
791,3
792,0
793,5
794,7
795,7
796,4
797,5
798,7
799,7
800,0
801,9
802,3
803,3
804,4
805,6
806,8
807,0
808,7
809,7
810,6
811,1
812,2
813,9
814,4
815,7
816,3
817,3
818,8
819,4
820,9
821,7
822,7
823,2
824,6
825,1
826,1
827,3
828,4
829,1
830,9
831,2
832,8
833,5
834,2
835,9
836,0
837,7
838,6
839,9
840,2
841,7
842,5
843,0
844,8
845,1
846,3
847,1
848,5
849,9
850,9
851,3
852,6
853,1
854,7
855,2
856,4
857,3
858,4
859,5
860,8
861,3
862,7
863,2
864,8
865,5
866,4
867,1
868,9
869,1
870,6
871,1
872,6
873,9
874,4
875,5
876,5
877,9
878,8
879,0
880,9
881,2
882,1
883,2
884,6
885,6
886,5
887,0
888,0
889,9
890,1
891,8
892,9
893,7
894,4
895,3
896,9
897,1
898,2
899,7
900,3
901,2
902,4
903,8
904,9
905,3
906,9
907,2
908,5
909,9
910,8
911,8
912,7
913,6
914,3
915,9
916,4
917,7
918,2
919,8
920,4
921,2
922,0
923,8
924,2
925,0
926,7
927,7
928,4
929,9
930,9
931,7
932,7
933,5
934,3
935,6
936,9
937,8
938,1
939,1
940,1
941,8
942,9
943,3
944,4
945,0
946,5
947,5
948,6
949,7
950,6
951,1
952,4
953,0
954,7
955,5
956,2
957,1
958,1
959,1
960,9
961,7
962,2
963,2
964,0
965,6
966,8
967,1
968,9
969,7
970,1
971,9
972,2
973,7
974,8
975,7
976,0
977,8
978,4
979,3
980,7
981,6
982,3
983,2
984,4
985,8
986,7
987,4
988,7
989,1
990,2
991,1
992,9
993,0
994,8
995,1
996,7
997,4
998,9
999,3
1000,2
1001,0
1002,6
1003,7
1004,7
1005,7
1006,0
1007,2
1008,7
1009,9
1010,2
1011,3
1012,1
1013,0
1014,8
1015,4
1016,8
1017,2
1018,1
1019,1
1020,2
1021,5
1022,1
1023,2
1024,1
1025,6
1026,4
1027,3
1028,5
1029,3
1030,9
1031,0
1032,6
1033,3
1034,7
1035,3
1036,7
1037,9
1038,2
1039,9
1040,0
1041,4
1042,0
1043,7
1044,0
1045,7
1046,8
1047,2
1048,6
1049,1
1050,8
1051,1
1052,0
1053,1
1054,6
1055,1
1056,9
1057,5
1058,3
1059,4
1060,3
1061,1
1062,9
1063,9
1064,0
1065,3
1066,3
1067,0
1068,8
1069,2
1070,9
1071,1
1072,8
1073,4
1074,4
1075,4
1076,1
1077,2
1078,7
1079,2
1080,7
1081,8
1082,1
1083,0
1084,6
1085,1
1086,0
1087,4
1088,8
1089,9
1090,2
1091,9
1092,9
1093,2
1094,1
1095,2
1096,7
1097,0
1098,3
1099,8
1100,0
1101,7
1102,5
1103,6
1104,0
1105,6
1106,2
1107,3
1108,3
1109,6
1110,1
1111,1
1112,9
1113,3
1114,8
1115,2
1116,7
1117,2
1118,5
1119,5
1120,2
1121,3
1122,2
1123,3
1124,1
1125,8
1126,4
1127,4
1128,8
1129,4
1130,9
1131,0
1132,9
1133,9
1134,0
1135,8
1136,6
1137,0
1138,6
1139,3
1140,8
1141,3
1142,0
1143,4
1144,1
1145,8
1146,0
1147,5
1148,8
1149,4
1150,6
1151,5
1152,2
1153,3
1154,2
1155,5
1156,2
1157,8
1158,5
1159,0
1160,7
1161,6
1162,7
1163,0
1164,6
1165,2
1166,1
1167,1
1168,5
1169,2
1170,9
1171,2
1172,9
1173,6
1174,8
1175,8
1176,3
1177,4
1178,9
1179,1
1180,1
1181,3
1182,9
1183,2
1184,0
1185,2
1186,1
1187,3
1188,9
1189,4
1190,8
1191,6
1192,6
1193,4
1194,2
1195,8
1196,1
1197,8
1198,2
1199,7
1200,4
1201,8
1202,9
1203,3
1204,9
1205,0
1206,1
1207,8
1208,7
1209,6
1210,0
1211,1
1212,2
1213,2
1214,4
1215,3
1216,9
1217,3
1218,3
1219,9
1220,2
1221,3
1222,6
1223,6
1224,0
1225,5
1226,3
1227,1
1228,2
1229,2
1230,3
1231,2
1232,5
1233,8
1234,7
1235,6
1236,1
1237,2
1238,6
1239,2
1240,8
1241,2
1242,2
1243,3
1244,9
1245,0
1246,1
1247,3
1248,3
1249,2
1250,9
1251,8
1252,0
1253,4
1254,9
1255,4
1256,7
1257,6
1258,7
1259,5
1260,3
1261,6
1262,8
1263,9
1264,4
1265,4
1266,1
1267,1
1268,9
1269,9
1270,5
1271,6
1272,2
1273,2
1274,2
